LAT,LONG
-21.2221912,-50.437561
-21.7911112,-48.2199121
-20.5740657,-48.5607193
-23.5023951,-46.8524887
-23.5107892,-46.8785362
-23.5044185,-46.8368443
-23.5163172,-46.8577929
-22.3223458,-49.0749922
-22.333689,-49.0585067
-22.3187,-49.0742971
-22.8861929,-48.4427635
-22.9532065,-46.5440491
-22.9066424,-47.0645217
-22.8923363,-47.0297323
-22.9049311,-47.0626794
-22.9323709,-47.07958
-22.9669274,-47.1429222
-22.9252084,-47.1291655
-23.6229027,-45.41119
-23.6678774,-45.4389659
-23.5212949,-46.8351684
-21.136089,-48.9711516
-23.883272,-46.4235713
-23.685423,-46.6290259
-23.6915191,-46.625428
-23.544713,-46.3790636
-20.5478335,-47.4190317
-23.3246203,-46.727921
-22.8123,-45.2000413
-23.9409968,-46.3078573
-23.4843863,-46.5409292
-23.4701618,-46.5324264
-23.4722911,-46.4255682
-23.4283035,-46.539111
-22.8634282,-47.2157961
-23.0836333,-47.2152674
-23.7154471,-46.8523806
-23.5788438,-48.0396992
-23.5460858,-46.9364194
-23.4758801,-46.3542816
-23.262821,-47.3017067
-23.3040444,-45.9709963
-22.2944486,-48.5580109
-23.1868341,-46.8877087
-23.1694585,-46.8939581
-22.5709446,-47.4101546
-22.1868841,-49.9695784
-23.6643763,-46.4628296
-23.6667082,-46.4605769
-23.5239729,-46.1967483
-23.5157869,-46.1817797
-23.5287249,-46.777894
-23.5292247,-46.7800938
-23.5390066,-46.767637
-23.5381021,-46.7731278
-22.9487747,-45.4843163
-22.7036332,-47.6519038
-22.7266544,-47.651099
-23.5230659,-46.3456913
-23.997875,-46.409354
-24.0120052,-46.4167042
-22.1172891,-51.4076205
-21.205938,-47.7653796
-21.1820748,-47.8103798
-21.225779,-47.8374116
-22.4131433,-47.5560957
-22.7555098,-47.4170475
-23.6466996,-46.5359943
-23.6577175,-46.5290578
-23.6678637,-46.5357928
-23.665287,-46.4999883
-23.9360769,-46.3065118
-23.9674727,-46.3370205
-23.7097297,-46.5529379
-23.6927866,-46.552697
-23.7061123,-46.5535583
-23.6482868,-46.5818224
-23.7231948,-46.5452376
-23.6124173,-46.5748463
-22.0173018,-47.9174598
-22.0197201,-47.8939588
-20.8093994,-49.382202
-20.836954,-49.3951497
-20.7707761,-49.3877873
-20.8598963,-49.4137811
-23.1827154,-45.8878069
-23.204305,-45.910691
-23.233869,-45.88684
-23.5486268,-46.6366816
-23.5855918,-46.679863
-23.5641001,-46.6686466
-23.5655545,-46.6933683
-23.6737431,-46.6800377
-23.6048528,-46.4827208
-23.5200352,-46.7063968
-23.5655974,-46.5048894
-23.5475449,-46.7592255
-23.6518935,-46.7074573
-23.5990699,-46.6393894
-23.5479661,-46.6383726
-23.654745,-46.7030608
-23.5245573,-46.5492041
-23.5031087,-46.627503
-23.4920861,-46.4431977
-23.5449013,-46.6413188
-22.8492175,-47.0652016
-23.6496598,-46.7596532
-23.5259273,-46.6273766
-23.5389332,-46.5785761
-23.4951272,-46.4066677
-23.5308341,-46.4506237
-23.5998526,-46.6030328
-23.6650781,-46.7237403
-23.4716898,-46.6524099
-23.5185943,-46.7058805
-23.5880318,-46.7533209
-23.5683384,-46.6496331
-23.4828276,-46.6470739
-23.7125115,-46.7012732
-23.6780184,-46.7001966
-23.5547882,-46.6067054
-23.6530816,-46.7125005
-23.6014059,-46.6042476
-23.5450909,-46.4117081
-23.5269112,-46.6768387
-23.5610836,-46.6598274
-23.6171557,-46.5952523
-23.6140929,-46.6407561
-23.5816563,-46.5956535
-23.5171349,-46.591008
-23.4709816,-46.6677725
-23.5670409,-46.5452642
-23.582436,-46.5875758
-23.5439206,-46.5772
-23.4796466,-46.6046174
-23.490067,-46.4814077
-23.5218577,-46.6576083
-23.5064281,-46.7206266
-23.5833784,-46.6730721
-23.6538891,-46.7088707
-23.5178356,-46.6302255
-23.9658025,-46.3874243
-23.4989891,-47.4594957
-23.4691221,-47.4778448
-23.4958326,-47.463455
-23.5393707,-46.3120955
-23.5742368,-46.7118604
-23.0269233,-45.557773
-23.0240468,-45.5842103
-23.0542163,-45.6066296
-22.9814994,-47.0146314
-23.5453645,-47.4691836
-23.5051567,-46.8531249
-23.4490967,-46.3265331
-23.4435077,-46.4476262
-23.1178849,-47.2200792
-23.1171505,-46.991853
